Video name,Uploader,Views (billions),Date,Notes,Country/territory,"As of December 6, 2025"
Baby Shark Dance[7],Pinkfong Baby Shark - Kids' Songs & Stories,16.65,"June 17, 2016",[A],South Korea
Despacito[10],Luis Fonsi,8.93,"January 12, 2017",[B],Puerto Rico
Wheels on the Bus[18],Cocomelon - Nursery Rhymes,8.53,"May 24, 2018",,United States
Bath Song[19],Cocomelon - Nursery Rhymes,7.37,"May 2, 2018",,United States
Johny Johny Yes Papa[20],LooLoo Kids - Nursery Rhymes and Children's Songs,7.15,"October 8, 2016",,Romania
See You Again[21],Wiz Khalifa,6.92,"April 6, 2015",[C],United States
Phonics Song with Two Words[26],ChuChu TV Nursery Rhymes & Kids Songs,6.87,"March 6, 2014",,India
Shape of You[27],Ed Sheeran,6.66,"January 30, 2017",[D],United Kingdom
Gangnam Style[30],Psy,5.84,"July 15, 2012",[E],South Korea
Uptown Funk[35],Mark Ronson,5.74,"November 19, 2014",,United Kingdom
Axel F[36],Crazy Frog,5.71,"June 16, 2009",,Sweden
Learning Colors – Colorful Eggs on a Farm[37],Мирошка ТВ,5.41,"February 27, 2018",,Russia
Dame Tu Cosita[38],Ultra Records,5.34,"April 5, 2018",,United States
Shree Hanuman Chalisa[39],T-Series Bhakti Sagar,5.18,"May 10, 2011",,India
Baa Baa Black Sheep[40],Cocomelon - Nursery Rhymes,4.72,"June 25, 2018",,United States
Masha and the Bear– Recipe for Disaster[41],Get Movies,4.66,"January 31, 2012",,Russia
Lakdi Ki Kathi[42],Jingle Toons,4.55,"June 14, 2018",,India
Waka Waka (This Time for Africa)[43],Shakira,4.44,"June 4, 2010",,Colombia
Humpty the train on a fruits ride[44],Kiddiestv Hindi - Nursery Rhymes & Kids Songs,4.36,"January 26, 2018",,India
Counting Stars[45],OneRepublic,4.35,"May 31, 2013",,United States
Temu's Big Game Ad[46],Temu,4.345,"February 12, 2024",,United States
Sugar[47],Maroon 5,4.342,"January 14, 2015",,United States
Baby Shark[48],Cocomelon - Nursery Rhymes,4.28,"November 21, 2017",,United States
Roar[49],Katy Perry,4.26,"September 5, 2013",,United States
Dark Horse[50],Katy Perry,4.11,"February 20, 2014",,United States
Perfect[51],Ed Sheeran,4.10,"November 9, 2017",,United Kingdom
Sorry[52],Justin Bieber,4.06,"October 22, 2015",,Canada
Let Her Go[53],Passenger,4.00,"July 25, 2012",,United Kingdom
Thinking Out Loud[54],Ed Sheeran,3.97,"October 7, 2014",,United Kingdom
Girls Like You[55],Maroon 5,3.96,"May 31, 2018",,United States
