Country,GDP_Nominal_USD_Billion
World,"120,728,032"
United States,"31,821,293"
China[n 1],"20,650,754"
Germany,"5,328,184"
India,"4,519,737"
Japan,"4,463,634"
United Kingdom,"4,040,844"
France,"3,558,562"
Italy,"2,701,544"
Russia,"2,545,421"
Canada,"2,420,837"
Brazil,"2,292,690"
Spain,"2,041,830"
Mexico,"2,031,018"
Australia,"1,948,227"
South Korea,"1,936,617"
Turkey,"1,576,110"
Indonesia,"1,550,236"
Netherlands,"1,413,076"
Saudi Arabia,"1,316,250"
Poland,"1,109,962"
Switzerland,"1,074,588"
Taiwan[n 3],"971,448"
Belgium,"761,174"
Ireland,"750,112"
Sweden,"711,503"
Argentina,"685,544"
Israel,"666,407"
Singapore,"606,225"
Austria,"604,198"
United Arab Emirates,"601,163"
Thailand,"561,509"
Norway,"547,693"
Philippines,"533,922"
Vietnam,"511,059"
Malaysia,"505,364"
Denmark,"500,051"
Bangladesh,"490,326"
Colombia,"462,251"
Hong Kong[n 4],"446,646"
Romania,"444,807"
South Africa,"443,643"
Pakistan,"421,802"
Czech Republic,"417,134"
Egypt,"401,508"
Iran,"375,644"
Portugal,"364,527"
Chile,"363,301"
Finland,"335,534"
Nigeria,"334,341"
Peru,"326,608"
Kazakhstan,"319,770"
Greece,"304,838"
Algeria,"294,402"
New Zealand,"280,553"
Iraq,"273,912"
Hungary,"269,916"
Qatar,"239,142"
Ukraine[n 5],"224,259"
Cuba,"201,986"
Morocco,"144,438"
Kuwait,"163,705"
Slovakia,"132,908"
Uzbekistan,"90,889"
Kenya,"108,039"
Ecuador,"118,845"
Dominican Republic,"121,444"
Bulgaria,"102,397"
Puerto Rico,"117,902"
Guatemala,"104,451"
Angola,"90,552"
Ghana,"76,370"
Ethiopia,"159,746"
Oman,"105,896"
Croatia,"84,391"
Costa Rica,"86,498"
Luxembourg,"85,755"
Serbia,"75,187"
Ivory Coast,"78,789"
Sri Lanka,"84,364"
Lithuania,"79,790"
Panama,"83,382"
Tanzania[n 6],"78,353"
Belarus,"71,857"
Uruguay,"77,236"
Venezuela,"139,395"
DR Congo,"69,338"
Slovenia,"69,148"
Azerbaijan,"72,356"
Turkmenistan,"59,887"
Uganda,"51,023"
Cameroon,"49,279"
Myanmar,"62,084"
Tunisia,"48,541"
Bolivia,"45,135"
Jordan,"50,814"
Zimbabwe,"30,368"
Macau[n 7],"45,803"
Cambodia,"42,824"
Libya,"44,030"
Latvia,"42,248"
Paraguay,"42,955"
Bahrain,"44,662"
Estonia,"41,291"
Nepal,"40,484"
Cyprus[n 8],"33,887"
Honduras,"34,401"
Iceland,"31,325"
Georgia[n 9],"30,536"
Senegal,"30,408"
El Salvador,"34,016"
Sudan,"34,021"
Bosnia and Herzegovina,"27,515"
Papua New Guinea,"31,020"
Haiti,"19,841"
Albania,"22,978"
Zambia,"27,578"
Lebanon,"27,464"
Armenia,"24,219"
Malta,"22,212"
Guinea,"23,006"
Burkina Faso,"20,325"
Trinidad and Tobago,"25,489"
Mali,"20,662"
Mongolia,"19,872"
Guyana,"16,683"
Mozambique,"20,954"
Benin,"19,673"
Jamaica,"19,423"
Niger,"16,819"
Chad,"17,643"
Gabon,"20,056"
Nicaragua,"17,829"
Kyrgyzstan,"13,988"
Syria,"29,028"
Moldova[n 10],"16,542"
Madagascar,"15,870"
Botswana,"19,396"
North Macedonia,"15,764"
Afghanistan,"16,417"
Tajikistan,"12,061"
Laos,"15,008"
North Korea,"16,447"
Bahamas,"14,338"
Mauritius,"14,397"
Congo,"14,167"
Brunei,"15,128"
Malawi,"12,627"
Rwanda,"14,097"
Namibia,"12,351"
Palestine[n 11],"17,396"
Equatorial Guinea,"12,117"
Somalia,"10,969"
Kosovo,"10,467"
Channel Islands,—N/a
Mauritania,"10,652"
Togo,"9,278"
Monaco,"9,995"
New Caledonia,"10,140"
Liechtenstein,"7,965"
Montenegro,"7,530"
Bermuda,"8,142"
Yemen,"8,758"
Sierra Leone,"6,412"
Maldives,"6,591"
Barbados,"6,721"
Isle of Man,—N/a
Cayman Islands,"7,127"
Burundi,"3,960"
Guam,—N/a
French Polynesia,"6,398"
Fiji,"5,442"
Eswatini,"4,574"
Liberia,"5,039"
South Sudan,"4,629"
U.S. Virgin Islands,—N/a
Djibouti,"4,000"
Suriname,"3,759"
Andorra,"3,785"
Aruba,"3,649"
Faroe Islands,—N/a
Bhutan,"3,019"
Greenland,"3,041"
Central African Republic,"2,555"
Belize,"3,079"
Curaçao,"3,281"
Cape Verde,"2,591"
Saint Lucia,"2,430"
Gambia,"2,401"
Zanzibar,"2,483"
Guinea-Bissau,"1,841"
Lesotho,"2,118"
Antigua and Barbuda,"2,033"
Eritrea,"2,275"
San Marino,"1,987"
Seychelles,"2,141"
Timor-Leste,"2,080"
Solomon Islands,"1,633"
Turks and Caicos Islands,"1,402"
Sint Maarten,"1,677"
Comoros,"1,448"
British Virgin Islands,"1,506"
Grenada,"1,317"
Samoa,"1,032"
Saint Vincent and the Grenadines,"1,091"
Saint Kitts and Nevis,"1,058"
Vanuatu,"1,119"
Northern Mariana Islands,—N/a
São Tomé and Príncipe,684
American Samoa,—N/a
Dominica,651
Saint Martin,—N/a
Tonga,508
Micronesia,460
Anguilla,416
Cook Islands,366
Palau,282
Kiribati,289
Marshall Islands,270
Nauru,176
Montserrat,80
Tuvalu,68
